cohort,algorithm,case,seed,success,reason,completion,tracking_mae_m,illegal_switches,collision_count,simulation_time_s,checkpoint_sha256
user,temporal_pursuit,00-user-original,7,True,success,0.9957378046006297,0.018549597944544003,0,0,54.1,
user,temporal_pursuit,01-user-actual,7,True,success,0.9964088040107469,0.03223419895952993,0,0,62.75,
user,temporal_mpc,00-user-original,7,True,success,0.9956945751927198,0.017375199885348865,0,0,53.550000000000004,
user,temporal_mpc,01-user-actual,7,True,success,0.9963631798460572,0.01662058502624994,0,0,61.7,
user,scanline_pid,00-user-original,7,True,success,0.9957191114740408,0.03421551769140872,0,0,71.55,
user,scanline_pid,01-user-actual,7,True,success,0.9964436902163503,0.04108837630320056,0,0,83.85000000000001,
user,cnn_gru,00-user-original,7,True,success,0.9962257580967521,0.02827325750386221,0,0,52.650000000000006,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
user,cnn_gru,01-user-actual,7,True,success,0.9962626544746769,0.026694481812866867,0,0,60.95,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
core,temporal_pursuit,straight,6001,True,success,0.9840368697125512,0.015759115951086394,0,0,17.1,
core,temporal_pursuit,bend,6001,True,success,0.9833713339649228,0.019375909781441974,0,0,16.150000000000002,
core,temporal_pursuit,s_curve,6001,True,success,0.9840353195734385,0.038793232745594534,0,0,16.7,
core,temporal_pursuit,sharp,6001,True,success,0.9839506743959169,0.027877456993058675,0,0,16.7,
core,temporal_pursuit,hairpin,6001,True,success,0.986090162790474,0.025834668748575918,0,0,18.8,
core,temporal_pursuit,parallel,6001,True,success,0.9840370560276662,0.014869072411429709,0,0,17.1,
core,temporal_pursuit,close_lines,6001,True,success,0.9840449024184212,0.015055462150908803,0,0,17.1,
core,temporal_pursuit,repeated,6001,True,success,0.9968275096012938,0.02821620893411469,0,0,68.75,
core,temporal_mpc,straight,6001,True,success,0.9840082783407242,0.011576595389105689,0,0,17.1,
core,temporal_mpc,bend,6001,True,success,0.9837289619806059,0.01959480385181143,0,0,16.05,
core,temporal_mpc,s_curve,6001,True,success,0.9838195328774454,0.023997573080931128,0,0,16.6,
core,temporal_mpc,sharp,6001,True,success,0.9833113946345255,0.023810289819288122,0,0,16.5,
core,temporal_mpc,hairpin,6001,True,success,0.9858897585728296,0.02234713940124874,0,0,18.55,
core,temporal_mpc,parallel,6001,True,success,0.9851468130162357,0.015611803916477688,0,0,17.2,
core,temporal_mpc,close_lines,6001,True,success,0.98401114687288,0.01176659625681573,0,0,17.1,
core,temporal_mpc,repeated,6001,True,success,0.9967544104506042,0.022408253770764396,0,0,67.95,
complex,temporal_pursuit,00-coil-6001-kinematic_v1,6001,True,success,0.9963229726659726,0.014231746276688955,0,0,63.800000000000004,
complex,temporal_pursuit,01-coil-6001-inertial_v2,6001,True,success,0.9964002517319887,0.024182551075038496,0,0,64.3,
complex,temporal_pursuit,02-coil-6002-kinematic_v1,6002,True,success,0.9961856575475594,0.018017255729215018,0,0,58.5,
complex,temporal_pursuit,03-coil-6002-inertial_v2,6002,True,success,0.9961343124289878,0.02637995133006158,0,0,58.400000000000006,
complex,temporal_pursuit,04-parallel_curve-6001-kinematic_v1,6001,True,success,0.9851430644938256,0.021073653024960646,0,0,17.85,
complex,temporal_pursuit,05-parallel_curve-6001-inertial_v2,6001,True,success,0.985454462732988,0.03133250581203615,0,0,17.75,
complex,temporal_pursuit,06-parallel_curve-6002-kinematic_v1,6002,True,success,0.9844135115154186,0.02230440244085501,0,0,17.45,
complex,temporal_pursuit,07-parallel_curve-6002-inertial_v2,6002,True,success,0.983649835341774,0.03191784739673537,0,0,17.05,
complex,temporal_mpc,00-coil-6001-kinematic_v1,6001,True,success,0.9963776631635809,0.019933217208771115,0,0,63.400000000000006,
complex,temporal_mpc,01-coil-6001-inertial_v2,6001,True,success,0.9964729876577008,0.013225050050108794,0,0,63.45,
